time,.data
2022/11/28/23:03:58.916501,"(-1, 1, -1, -5, -3, -2, 1, -1)"
2022/11/28/23:03:58.917340,"(2, 6, 3, 4, 2, 1, -1, 3)"
2022/11/28/23:03:58.917352,"(7, 8, 2, -2, -1, -2, -6, 7)"
2022/11/28/23:03:58.939049,"(10, -11, 1, 4, 0, 1, 4, 7)"
2022/11/28/23:03:58.939113,"(-15, 10, 2, 0, -2, -1, 0, -12)"
2022/11/28/23:03:58.939803,"(19, -11, -4, -12, -3, -4, -8, -7)"
2022/11/28/23:03:58.939810,"(15, 0, 2, 22, 10, 1, -2, 13)"
2022/11/28/23:03:58.963004,"(-17, 3, 0, -1, -2, 3, 9, -1)"
2022/11/28/23:03:58.963125,"(6, 10, -1, 0, 0, -1, -10, -7)"
2022/11/28/23:03:58.963741,"(-1, -4, 6, 4, 0, -1, 6, 3)"
2022/11/28/23:03:58.963754,"(-1, 0, -1, -7, -7, -3, -4, 3)"
2022/11/28/23:03:58.975786,"(4, 1, -1, 4, 5, -2, -4, 2)"
2022/11/28/23:03:58.975796,"(-8, -10, -5, -4, 0, -1, -1, -9)"
2022/11/28/23:03:58.984087,"(2, 13, -9, -3, -3, -2, -4, -4)"
2022/11/28/23:03:58.984123,"(7, 2, 11, 1, -1, -1, -10, -4)"
2022/11/28/23:03:58.999357,"(4, -8, -1, 1, -2, -1, 0, -4)"
2022/11/28/23:03:58.999388,"(-2, -9, -2, -4, -1, 0, -4, -2)"
2022/11/28/23:03:59.000092,"(13, 1, -6, 0, -1, -1, 4, 2)"
2022/11/28/23:03:59.000113,"(-15, 0, 2, -4, -3, -4, 3, -8)"
2022/11/28/23:03:59.022206,"(8, 15, 0, -2, 0, 1, -2, 1)"
2022/11/28/23:03:59.022231,"(13, -7, -5, 1, 1, -1, 0, 6)"
2022/11/28/23:03:59.023289,"(-17, 10, 0, -1, -5, -1, 0, 0)"
2022/11/28/23:03:59.023303,"(-16, -20, -3, -2, -2, -2, 1, 2)"
2022/11/28/23:03:59.035861,"(-5, -2, -3, -1, -1, 0, 0, -6)"
2022/11/28/23:03:59.035873,"(5, -3, 3, 0, -1, -3, 0, 4)"
2022/11/28/23:03:59.044358,"(10, 7, -5, 0, -1, 0, -1, -1)"
2022/11/28/23:03:59.044568,"(-10, -8, -5, -6, -1, -1, -1, -9)"
2022/11/28/23:03:59.059155,"(5, 5, 1, 1, -4, -4, -9, -13)"
2022/11/28/23:03:59.059328,"(3, -5, -2, -2, 0, 1, -3, -10)"
2022/11/28/23:03:59.060601,"(-3, 1, 1, -1, -1, -1, -2, 2)"
2022/11/28/23:03:59.060624,"(5, 3, -4, 2, 2, 1, 5, 9)"
2022/11/28/23:03:59.081926,"(-29, -16, -9, -5, -4, -4, 3, -70)"
2022/11/28/23:03:59.081938,"(-6, 0, 2, -1, -1, -1, 3, 7)"
2022/11/28/23:03:59.082311,"(-3, -5, 2, 2, -1, -1, 0, -4)"
2022/11/28/23:03:59.082322,"(3, -2, -5, -2, -3, -1, -6, -1)"
2022/11/28/23:03:59.095355,"(12, 3, -2, -2, 1, -2, -3, -2)"
2022/11/28/23:03:59.095371,"(0, -7, -4, -3, 0, -2, -2, -1)"
2022/11/28/23:03:59.104152,"(-37, -1, -1, 1, -5, 1, 0, -5)"
2022/11/28/23:03:59.104189,"(0, 0, 4, 0, 0, -3, -7, 19)"
2022/11/28/23:03:59.119273,"(6, -36, -6, -1, 1, 0, 2, 23)"
2022/11/28/23:03:59.119298,"(-2, 5, 7, 2, 0, 1, 1, 13)"
2022/11/28/23:03:59.120150,"(29, 1, -1, 0, 3, 0, -2, 14)"
2022/11/28/23:03:59.120167,"(2, 1, -5, -4, -3, 1, 3, -35)"
2022/11/28/23:03:59.141783,"(-10, 21, 4, 1, -1, -1, 4, 24)"
2022/11/28/23:03:59.141814,"(-2, -9, -4, 1, -1, -2, -13, -56)"
2022/11/28/23:03:59.142366,"(-2, -4, 3, -1, 0, -3, -1, 1)"
2022/11/28/23:03:59.142378,"(6, 5, -8, -4, -1, 0, 2, 13)"
2022/11/28/23:03:59.155555,"(0, -20, -6, -4, 0, 0, 2, -4)"
2022/11/28/23:03:59.155564,"(7, 18, -3, -2, -3, -1, 10, 4)"
2022/11/28/23:03:59.164589,"(-15, 19, 12, 2, 2, 0, -6, -9)"
2022/11/28/23:03:59.165138,"(-52, -36, -8, -3, -1, -4, -4, 8)"
2022/11/28/23:03:59.179322,"(-4, 41, 2, -1, -2, 2, 7, 14)"
2022/11/28/23:03:59.179352,"(32, -33, 8, 3, 1, -1, -7, 54)"
2022/11/28/23:03:59.180020,"(5, -11, -8, -1, 1, 2, -3, -4)"
2022/11/28/23:03:59.180039,"(27, 19, -1, 0, -2, 0, 5, 9)"
2022/11/28/23:03:59.202307,"(17, -1, 0, 0, -2, 2, 3, -2)"
2022/11/28/23:03:59.202469,"(-51, -12, -8, -4, -4, 2, 7, -7)"
2022/11/28/23:03:59.202485,"(50, 0, -12, 0, -1, -2, -1, 13)"
